source,url,title,summary,relevance_score,segments,countries,published_at
mining.com,https://www.mining.com/seed-1,Copper demand to rise 4% in 2026 driven by grid investments,"Major analysts forecast continued strength in copper demand driven by global grid modernization investments, particularly in Europe and North America. Cable manufacturers expected to benefit.",0.92,"copper,grid","global","2026-04-25T10:00:00Z"
mining.com,https://www.mining.com/seed-2,LME copper holds above $9500/t on supply concerns,"LME three-month copper continues to trade firmly above $9500/tonne as supply disruptions in Chile and DRC weigh on near-term availability.",0.85,"copper,commodities","Chile,DRC","2026-04-24T08:00:00Z"
EuropaCable,https://www.europacable.eu/seed-1,EU cable industry calls for accelerated grid modernization,"Industry body EuropaCable issues statement urging EU policymakers to fast-track grid investment programs to meet electrification targets.",0.88,"cable,grid,policy","EU","2026-04-23T14:00:00Z"
IEA,https://www.iea.org/seed-1,Critical minerals investment hits record $30bn in 2025,"IEA's annual review of critical minerals investment shows record-level commitments in lithium, cobalt, nickel and rare earths.",0.79,"critical_minerals","global","2026-04-22T09:00:00Z"
DCD,https://www.datacenterdynamics.com/seed-1,Hyperscale data center capacity in Europe up 18% YoY,"Latest DCD market intelligence shows European data center capacity additions growing at unprecedented pace driven by AI workloads.",0.82,"data_centers,cable","EU","2026-04-21T11:30:00Z"
mining.com,https://www.mining.com/seed-3,New copper project announced in Zambia,"Anglo American confirms development decision on Copper Frontier project with first production targeted 2028.",0.84,"copper,projects","Zambia","2026-04-20T13:00:00Z"
mining.com,https://www.mining.com/seed-4,Lithium prices stabilize after Q1 decline,"Spot lithium carbonate prices show signs of bottoming after a 25% decline in Q1 2026.",0.76,"lithium,commodities","global","2026-04-19T15:00:00Z"
EuropaCable,https://www.europacable.eu/seed-2,Recycled copper share in EU cables reaches 65%,"EuropaCable annual sustainability report highlights record share of recycled copper used in European cable manufacturing.",0.81,"cable,sustainability","EU","2026-04-18T10:00:00Z"
IEA,https://www.iea.org/seed-2,Global renewable capacity additions exceed 600 GW in 2025,"IEA reports 2025 saw a record 600+ GW of renewable energy capacity added globally, driving cable demand.",0.83,"renewables,grid","global","2026-04-17T08:30:00Z"
DCD,https://www.datacenterdynamics.com/seed-2,Nordic data center boom continues with new Sweden site,"Major hyperscaler announces 200MW data center campus in northern Sweden, signing 15-year power purchase agreements.",0.74,"data_centers","Sweden","2026-04-16T12:00:00Z"
mining.com,https://www.mining.com/seed-5,Codelco signals capex expansion plan,"Chilean state copper producer Codelco outlines $20bn capex pipeline through 2030.",0.88,"copper,capex","Chile","2026-04-15T14:00:00Z"
mining.com,https://www.mining.com/seed-6,Rare earth demand outlook strengthened,"IEA Critical Minerals Outlook 2025 revises rare earth demand projections upward.",0.77,"rare_earth,critical_minerals","global","2026-04-14T11:00:00Z"
